=== Debug Logger Session Started at 2026-09-14T11:36:10.243 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-14T11:36:10.140] [SYSTEM] BAUD_RATE_SET 2000000 baud (preferences/default)

=== Session ended - Download Started at 2026-09-14T11:36:10.377 ===
=== Debug Logger Session Started at 2026-09-14T11:36:10.380 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-14T11:36:10.377] [SYSTEM] [DOWNLOAD TO RAM] File: test_bench_scan.bin | Size: 48748 bytes | Modified: 2026-09-14T17:36:09.301Z
[2026-09-14T11:36:10.380] [SYSTEM] Download Session Started
[2026-09-14T11:36:11.802] Cog0  INIT $0000_0000 $0000_0000 load
[2026-09-14T11:36:11.803] [SYSTEM] [DOWNLOAD SUCCESS] test_bench_scan.bin successfully downloaded to RAM
[2026-09-14T11:36:11.806] Cog0  INIT $0000_0FA8 $0000_BA78 jump
[2026-09-14T11:36:11.807] Cog1  INIT $0000_0FA8 $0000_B1D0 jump
[2026-09-14T11:36:11.807] Cog0  BS-WDSTART,started,TRUE,cog,1
[2026-09-14T11:36:11.808] Cog0  BS-BANNER,src_rev,9,fmt,9,cfg_id,BENCH,frame,MOTOR,clkfreq,270_000_000,left_base,32,right_base,16,voltage_enum,6,det_mode,30,motor_type,0,def_neg_deg,43,def_pos_deg,317
[2026-09-14T11:36:11.809] Cog0  BS-BUILD,wd_selftest,FALSE,sf,1,zxs_starts,5,zxs_max_mV_x10,50
[2026-09-14T11:36:11.810] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R1-SCAN-COGOK,task,3499
[2026-09-14T11:36:11.810] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R2-SCAN-REVB,task,3500
[2026-09-14T11:36:11.811] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R3-SCAN-INTEG,task,3501
[2026-09-14T11:36:11.812] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R5-SCAN-SELF,task,3503
[2026-09-14T11:36:11.812] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R6-SCAN-OFFSETS,task,3519
[2026-09-14T11:36:11.813] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R7-SCAN-STARTILL,task,3524
[2026-09-14T11:36:11.814] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R11-SCAN-NOSTALL,task,3534
