=== Debug Logger Session Started at 2026-09-19T17:35:37.617 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-19T17:35:37.516] [SYSTEM] BAUD_RATE_SET 2000000 baud (preferences/default)

=== Session ended - Download Started at 2026-09-19T17:35:37.743 ===
=== Debug Logger Session Started at 2026-09-19T17:35:37.747 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-19T17:35:37.744] [SYSTEM] [DOWNLOAD TO RAM] File: test_bench_dual.bin | Size: 77482 bytes | Modified: 2026-09-19T23:35:36.729Z
[2026-09-19T17:35:37.747] [SYSTEM] Download Session Started
[2026-09-19T17:35:39.364] [SYSTEM] [DOWNLOAD SUCCESS] test_bench_dual.bin successfully downloaded to RAM
[2026-09-19T17:35:39.366] Cog0  INIT $0000_0000 $0000_0000 load
[2026-09-19T17:35:39.374] Cog0  INIT $0000_0FA8 $0003_AC04 jump
[2026-09-19T17:35:39.385] Cog1  INIT $0000_0FA8 $0003_7EB4 jump
[2026-09-19T17:35:39.385] Cog0  BM-WDSTART,seq,1,started,TRUE,cog,1
[2026-09-19T17:35:39.387] Cog0  BM-BANNER,seq,2,src_rev,20,fmt,8,part,C,cfg_id,BENCH,frame,MOTOR,clkfreq,270_000_000,left_base,32,right_base,16,voltage_enum,6,det_mode,30,motor_type,0,quiet,TRUE,mdbg,3,sdbg,3
[2026-09-19T17:35:39.389] Cog0  BM-BUILD,seq,3,sf,1,inst_hz,500,inst_ticks,540_000,ring,4_096,slongs,9,waitms_max,7_953,wd_stall_ms,4_000,abs_abort_mV,1_500,ladder_max,165_000_000,rwire_mohm,20,pack_mV,18_500,fault_cool_ms,5_000
[2026-09-19T17:35:39.389] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-NOSTALL-C,task,3508
[2026-09-19T17:35:39.390] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-DBGMASK-C,task,3508
[2026-09-19T17:35:39.391] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-TRACES-C,task,3508
[2026-09-19T17:35:39.391] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-RSTPROV-C,task,3508
[2026-09-19T17:35:39.392] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-OFFREST-C,task,3508
[2026-09-19T17:35:39.393] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R16-DUAL-LAGBND-C,task,3508
[2026-09-19T17:35:39.393] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R16-DUAL-STPDECEL-C,task,3508
[2026-09-19T17:35:39.394] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R17-DUAL-FLTSTOP-C,task,3508
[2026-09-19T17:35:39.395] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R17-DUAL-IDLEMOVE-C,task,3508
[2026-09-19T17:35:39.396] Cog0  BM-PLAN,seq,4,seg,PREFLT,order,1,attended,FALSE,part,C,finds,NONE,est_s,5,est_kb,2
[2026-09-19T17:35:39.398] Cog0  BM-PLAN,seq,5,seg,BASELINE,order,2,attended,FALSE,part,C,finds,FIELD_Q,est_s,120,est_kb,16
[2026-09-19T17:35:39.398] Cog0  BM-PLAN,seq,6,seg,POSTFLT,order,3,attended,FALSE,part,C,finds,S-9a,est_s,120,est_kb,790
[2026-09-19T17:35:39.415] Cog0  * PANIC PROCEDURE IS PHYSICAL BATTERY DISCONNECT ONLY -- no operator control can stop a runaway (finding S-4: the e-stop now latches, task 3556)
[2026-09-19T17:35:39.415] Cog2  INIT $0000_0FA8 $0003_5744 jump
[2026-09-19T17:35:39.418] Cog0  BM-INST,seq,7,event,START,cog,2,state,IDLE,ack_ms,6,samples,0,late,0,skipped,0,max_late_us,0,clamps,0,why,NONE
[2026-09-19T17:35:39.428] Cog0  BM-SEG,seq,8,seg,PREFLT,event,BEGIN,attended,FALSE,items,0,faults,0,unrecov,0,ms,0,why,NONE
[2026-09-19T17:35:39.443] Cog3  INIT $0000_E90E $0003_868F load
[2026-09-19T17:35:39.444] Cog4  INIT $0000_0FA8 $0003_826B jump
[2026-09-19T17:35:41.521] Cog0  BM-START,seq,9,seg,PREFLT,motor,LEFT,life,1,cog_ret,3,cog_ok,TRUE,board,REV_B,board_enum,22,ready,TRUE,ready_ms,0,off_neg,43,off_pos,317,missed,0,illegal,0,zero_x10,86,ph_x10,1_694,why,NONE
[2026-09-19T17:35:42.434] Cog0  BM-PREFLT,seq,10,motor,LEFT,incre,18_375_000,ticks,18,hw_ticks,18,moved,TRUE,why,NONE
[2026-09-19T17:35:42.437] Cog3  INIT $0000_E90E $0003_8E67 load
