=== Debug Logger Session Started at 2026-09-21T19:26:18.277 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-21T19:26:18.173] [SYSTEM] BAUD_RATE_SET 2000000 baud (preferences/default)

=== Session ended - Download Started at 2026-09-21T19:26:18.407 ===
=== Debug Logger Session Started at 2026-09-21T19:26:18.410 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-21T19:26:18.407] [SYSTEM] [DOWNLOAD TO RAM] File: test_bench_scan.bin | Size: 53858 bytes | Modified: 2026-09-22T01:26:17.359Z
[2026-09-21T19:26:18.410] [SYSTEM] Download Session Started
[2026-09-21T19:26:19.856] [SYSTEM] [DOWNLOAD SUCCESS] test_bench_scan.bin successfully downloaded to RAM
[2026-09-21T19:26:19.865] Cog0  INIT $0000_0000 $0000_0000 load
[2026-09-21T19:26:19.876] Cog0  INIT $0000_0FA8 $0000_DE90 jump
[2026-09-21T19:26:19.876] Cog1  INIT $0000_0FA8 $0000_C778 jump
[2026-09-21T19:26:19.877] Cog0  BS-WDSTART,started,TRUE,cog,1
[2026-09-21T19:26:19.878] Cog0  BS-BANNER,src_rev,17,fmt,10,cfg_id,BENCH,frame,MOTOR,clkfreq,270_000_000,left_base,32,right_base,16,voltage_enum,6,det_mode,30,motor_type,0,def_neg_deg,43,def_pos_deg,317
[2026-09-21T19:26:19.879] Cog0  BS-BUILD,wd_selftest,FALSE,sf,1,zxs_starts,5,zxs_max_mV_x10,50
[2026-09-21T19:26:19.879] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R1-SCAN-COGOK,task,3499
[2026-09-21T19:26:19.880] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R2-SCAN-REVB,task,3500
[2026-09-21T19:26:19.881] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R3-SCAN-INTEG,task,3501
[2026-09-21T19:26:19.881] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R5-SCAN-SELF,task,3503
[2026-09-21T19:26:19.882] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R6-SCAN-OFFSETS,task,3519
[2026-09-21T19:26:19.882] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R7-SCAN-STARTILL,task,3524
[2026-09-21T19:26:19.883] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R11-SCAN-NOSTALL,task,3534
[2026-09-21T19:26:19.884] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R12-SCAN-ALIVE,task,3535
[2026-09-21T19:26:19.884] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R12-SCAN-RATE,task,3535
[2026-09-21T19:26:19.885] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R8-SCAN-ZXS,task,3529
[2026-09-21T19:26:19.886] Cog0  SIGNOFF-DECL,sf,1,bin,SCAN,cell,R18-SCAN-LEGBRACKET,task,3530
