=== Debug Logger Session Started at 2026-09-21T17:45:53.492 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-21T17:45:53.386] [SYSTEM] BAUD_RATE_SET 2000000 baud (preferences/default)

=== Session ended - Download Started at 2026-09-21T17:45:53.622 ===
=== Debug Logger Session Started at 2026-09-21T17:45:53.626 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-21T17:45:53.622] [SYSTEM] [DOWNLOAD TO RAM] File: test_bench_dual.bin | Size: 83874 bytes | Modified: 2026-09-21T23:45:52.593Z
[2026-09-21T17:45:53.626] [SYSTEM] Download Session Started
[2026-09-21T17:45:55.283] [SYSTEM] [DOWNLOAD SUCCESS] test_bench_dual.bin successfully downloaded to RAM
[2026-09-21T17:45:55.285] Cog0  INIT $0000_0000 $0000_0000 load
[2026-09-21T17:45:55.290] Cog0  INIT $0000_0FA8 $0004_5804 jump
[2026-09-21T17:45:55.302] Cog1  INIT $0000_0FA8 $0004_17FC jump
[2026-09-21T17:45:55.302] Cog0  BM-WDSTART,seq,1,started,TRUE,cog,1
[2026-09-21T17:45:55.303] Cog0  BM-BANNER,seq,2,src_rev,23,fmt,11,part,ALIGN,cfg_id,BENCH,frame,MOTOR,clkfreq,270_000_000,left_base,32,right_base,16,voltage_enum,6,det_mode,30,motor_type,0,quiet,TRUE,mdbg,3,sdbg,3
[2026-09-21T17:45:55.305] Cog0  BM-BUILD,seq,3,sf,1,inst_hz,500,inst_ticks,540_000,ring,4_096,slongs,11,waitms_max,7_953,wd_stall_ms,4_000,abs_abort_mV,1_500,ladder_max,165_000_000,rwire_mohm,20,pack_mV,18_500,fault_cool_ms,5_000
[2026-09-21T17:45:55.306] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-NOSTALL-Z,task,3508
[2026-09-21T17:45:55.306] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-DBGMASK-Z,task,3508
[2026-09-21T17:45:55.307] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-ALIGN-ND,task,3508
[2026-09-21T17:45:55.308] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-ALIGN-CLIP,task,3508
[2026-09-21T17:45:55.309] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-ALIGN-COVER,task,3508
[2026-09-21T17:45:55.309] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-ALIGN-RES,task,3508
[2026-09-21T17:45:55.310] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R18-DUAL-ALIGN-MTRX,task,3508
[2026-09-21T17:45:55.312] Cog0  * PANIC PROCEDURE IS PHYSICAL BATTERY DISCONNECT ONLY -- no operator control can stop a runaway (finding S-4: the e-stop now latches, task 3556)
[2026-09-21T17:45:55.328] Cog2  INIT $0000_0FA8 $0003_F03C jump
[2026-09-21T17:45:55.329] Cog0  BM-INST,seq,4,event,START,cog,2,state,IDLE,ack_ms,5,samples,0,late,0,skipped,0,max_late_us,0,clamps,0,why,NONE
[2026-09-21T17:45:55.340] Cog0  BM-SEG,seq,5,seg,ALIGN,event,BEGIN,attended,TRUE,items,0,faults,0,unrecov,0,ms,0,why,NONE
[2026-09-21T17:45:55.356] Cog3  INIT $0001_01E2 $0004_326F load
[2026-09-21T17:45:55.356] Cog4  INIT $0000_0FA8 $0004_2E4B jump
[2026-09-21T17:45:57.452] Cog0  BM-START,seq,6,seg,ALIGN,motor,LEFT,life,1,cog_ret,3,cog_ok,TRUE,board,REV_B,board_enum,22,ready,TRUE,ready_ms,0,off_neg,14,off_pos,338,missed,0,illegal,0,zero_x10,76,ph_x10,1_699,why,NONE
[2026-09-21T17:45:58.088] Cog0  BM-AGUIDE,seq,7,leg,0,motor,LEFT,ask_dir,FORWARD,speed,SLOW,turns,3,ticks,270,bias_still,TRUE,bias_u_mV,51,bias_v_mV,59,bias_w_mV,60,bias_tries,1
[2026-09-21T17:45:58.104] Cog0  TURN LEFT WHEEL FORWARD, SLOW -- keep turning until output resumes
[2026-09-21T17:46:08.590] Cog0  BM-ACROSS,seq,8,leg,0,motor,LEFT,phase,0,rising,FALSE,hall,1,tick,1,t_us,1_834,dur_us,185_577
[2026-09-21T17:46:08.591] Cog0  BM-ACROSS,seq,9,leg,0,motor,LEFT,phase,0,rising,TRUE,hall,1,tick,1,t_us,1_887,dur_us,185_577
[2026-09-21T17:46:08.592] Cog0  BM-ACROSS,seq,10,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,45_630,dur_us,185_577
[2026-09-21T17:46:08.593] Cog0  BM-ACROSS,seq,11,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,45_684,dur_us,185_577
[2026-09-21T17:46:08.595] Cog0  BM-ACROSS,seq,12,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,47_805,dur_us,185_577
[2026-09-21T17:46:08.596] Cog0  BM-ACROSS,seq,13,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,47_859,dur_us,185_577
[2026-09-21T17:46:08.597] Cog0  BM-ACROSS,seq,14,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,49_884,dur_us,185_577
[2026-09-21T17:46:08.598] Cog0  BM-ACROSS,seq,15,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,49_986,dur_us,185_577
[2026-09-21T17:46:08.599] Cog0  BM-ACROSS,seq,16,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,54_177,dur_us,185_577
[2026-09-21T17:46:08.600] Cog0  BM-ACROSS,seq,17,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,54_326,dur_us,185_577
[2026-09-21T17:46:08.601] Cog0  BM-ACROSS,seq,18,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,56_496,dur_us,185_577
[2026-09-21T17:46:08.602] Cog0  BM-ACROSS,seq,19,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,56_597,dur_us,185_577
[2026-09-21T17:46:08.603] Cog0  BM-ACROSS,seq,20,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,58_046,dur_us,185_577
[2026-09-21T17:46:08.604] Cog0  BM-ACROSS,seq,21,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,58_099,dur_us,185_577
[2026-09-21T17:46:08.605] Cog0  BM-ACROSS,seq,22,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,58_152,dur_us,185_577
[2026-09-21T17:46:08.606] Cog0  BM-ACROSS,seq,23,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,58_253,dur_us,185_577
[2026-09-21T17:46:08.608] Cog0  BM-ACROSS,seq,24,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,58_354,dur_us,185_577
[2026-09-21T17:46:08.609] Cog0  BM-ACROSS,seq,25,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,58_408,dur_us,185_577
[2026-09-21T17:46:08.610] Cog0  BM-ACROSS,seq,26,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,58_557,dur_us,185_577
[2026-09-21T17:46:08.611] Cog0  BM-ACROSS,seq,27,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,58_611,dur_us,185_577
[2026-09-21T17:46:08.612] Cog0  BM-ACROSS,seq,28,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,60_540,dur_us,185_577
[2026-09-21T17:46:08.613] Cog0  BM-ACROSS,seq,29,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,60_739,dur_us,185_577
[2026-09-21T17:46:08.614] Cog0  BM-ACROSS,seq,30,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,62_860,dur_us,185_577
[2026-09-21T17:46:08.615] Cog0  BM-ACROSS,seq,31,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,62_914,dur_us,185_577
[2026-09-21T17:46:08.616] Cog0  BM-ACROSS,seq,32,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,62_967,dur_us,185_577
[2026-09-21T17:46:08.618] Cog0  BM-ACROSS,seq,33,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,63_165,dur_us,185_577
[2026-09-21T17:46:08.618] Cog0  BM-ACROSS,seq,34,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,64_613,dur_us,185_577
[2026-09-21T17:46:08.619] Cog0  BM-ACROSS,seq,35,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,64_667,dur_us,185_577
[2026-09-21T17:46:08.621] Cog0  BM-ACROSS,seq,36,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,64_959,dur_us,185_577
[2026-09-21T17:46:08.622] Cog0  BM-ACROSS,seq,37,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,65_013,dur_us,185_577
[2026-09-21T17:46:08.623] Cog0  BM-ACROSS,seq,38,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,65_306,dur_us,185_577
[2026-09-21T17:46:08.624] Cog0  BM-ACROSS,seq,39,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,65_359,dur_us,185_577
[2026-09-21T17:46:08.625] Cog0  BM-ACROSS,seq,40,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,66_808,dur_us,185_577
[2026-09-21T17:46:08.626] Cog0  BM-ACROSS,seq,41,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,67_345,dur_us,185_577
[2026-09-21T17:46:08.627] Cog0  BM-ACROSS,seq,42,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,68_889,dur_us,185_577
[2026-09-21T17:46:08.628] Cog0  BM-ACROSS,seq,43,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,68_942,dur_us,185_577
[2026-09-21T17:46:08.629] Cog0  BM-ACROSS,seq,44,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,69_332,dur_us,185_577
[2026-09-21T17:46:08.631] Cog0  BM-ACROSS,seq,45,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,69_675,dur_us,185_577
[2026-09-21T17:46:08.631] Cog0  BM-ACROSS,seq,46,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,71_651,dur_us,185_577
[2026-09-21T17:46:08.633] Cog0  BM-ACROSS,seq,47,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,71_753,dur_us,185_577
[2026-09-21T17:46:08.634] Cog0  BM-ACROSS,seq,48,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,71_806,dur_us,185_577
[2026-09-21T17:46:08.635] Cog0  BM-ACROSS,seq,49,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,71_908,dur_us,185_577
[2026-09-21T17:46:08.636] Cog0  BM-ACROSS,seq,50,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,73_356,dur_us,185_577
[2026-09-21T17:46:08.637] Cog0  BM-ACROSS,seq,51,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,74_135,dur_us,185_577
[2026-09-21T17:46:08.638] Cog0  BM-ACROSS,seq,52,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,75_631,dur_us,185_577
[2026-09-21T17:46:08.639] Cog0  BM-ACROSS,seq,53,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,76_361,dur_us,185_577
[2026-09-21T17:46:08.640] Cog0  BM-ACROSS,seq,54,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,77_328,dur_us,185_577
[2026-09-21T17:46:08.641] Cog0  BM-ACROSS,seq,55,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,77_381,dur_us,185_577
[2026-09-21T17:46:08.643] Cog0  BM-ACROSS,seq,56,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,77_771,dur_us,185_577
[2026-09-21T17:46:08.643] Cog0  BM-ACROSS,seq,57,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,78_114,dur_us,185_577
[2026-09-21T17:46:08.645] Cog0  BM-ACROSS,seq,58,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,78_167,dur_us,185_577
[2026-09-21T17:46:08.646] Cog0  BM-ACROSS,seq,59,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,78_510,dur_us,185_577
[2026-09-21T17:46:08.647] Cog0  BM-ACROSS,seq,60,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,79_573,dur_us,185_577
[2026-09-21T17:46:08.648] Cog0  BM-ACROSS,seq,61,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,79_626,dur_us,185_577
[2026-09-21T17:46:08.649] Cog0  BM-ACROSS,seq,62,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,79_727,dur_us,185_577
[2026-09-21T17:46:08.650] Cog0  BM-ACROSS,seq,63,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,79_781,dur_us,185_577
[2026-09-21T17:46:08.651] Cog0  BM-ACROSS,seq,64,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,79_882,dur_us,185_577
[2026-09-21T17:46:08.653] Cog0  BM-ACROSS,seq,65,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,80_709,dur_us,185_577
[2026-09-21T17:46:08.653] Cog0  BM-ACROSS,seq,66,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,81_484,dur_us,185_577
[2026-09-21T17:46:08.655] Cog0  BM-ACROSS,seq,67,leg,0,motor,LEFT,phase,1,rising,TRUE,hall,1,tick,1,t_us,81_682,dur_us,185_577
[2026-09-21T17:46:08.656] Cog0  BM-ACROSS,seq,68,leg,0,motor,LEFT,phase,1,rising,FALSE,hall,1,tick,1,t_us,81_735,dur_us,185_577
